question,truth
789_1711_0,0
1081_1571_0,0
1020_1567_0,0
736_1857_1,1
607_1606_1,1
547_1774_0,0
841_1897_0,0
478_1669_0,0
666_1717_0,0
65_1389_0,0
917_2089_0,0
257_1717_0,0
711_2108_0,0
397_1297_0,0
624_1726_0,0
435_1183_0,0
116_1154_0,0
481_2094_0,0
869_1557_0,0
853_1897_0,0
858_1619_0,0
802_1148_1,1
848_1796_0,0
483_1735_0,0
482_1669_0,0
889_1588_0,0
626_1968_0,0
281_1720_0,0
42_1880_0,0
650_1757_0,0
478_1712_0,0
677_1854_0,0
1016_1736_0,0
545_2146_0,0
850_1731_0,0
245_1394_0,0
615_1708_0,0
481_1993_0,0
41_1984_0,0
433_2046_0,0
117_1106_0,0
851_1901_0,0
907_2018_0,0
269_1431_0,0
481_1664_0,0
471_2061_0,0
483_1962_0,0
987_1796_0,0
531_1677_0,0
130_1435_0,0
183_1416_0,0
286_1359_1,1
617_1470_0,0
954_1938_0,0
651_2053_0,0
496_1689_0,0
546_1774_0,0
46_2167_1,1
1048_1128_0,0
804_2070_0,0
746_1829_1,1
428_1718_0,0
989_1962_0,0
714_1843_0,0
577_2074_0,0
684_1921_0,0
991_1594_0,0
588_1311_1,1
826_1726_0,0
910_1354_0,0
620_1798_0,0
488_1735_0,0
571_1801_0,0
903_1874_0,0
136_1237_0,0
944_2110_1,1
947_2042_0,0
45_1930_0,0
596_2094_0,0
29_1129_0,0
598_1415_0,0
901_1874_0,0
741_1973_0,0
835_1571_0,0
897_2028_0,0
591_1774_1,1
962_1165_0,0
786_1751_0,0
61_1242_0,0
986_1730_0,0
580_2053_0,0
485_1992_0,0
941_2094_0,0
935_2069_0,0
859_1644_0,0
639_1972_0,0
251_1599_0,0
261_1710_0,0
683_1974_1,1
343_1818_0,0
645_1597_0,0
52_1436_1,1
111_1448_0,0
759_1128_0,0
506_1639_0,0
429_1747_0,0
1061_1481_0,0
469_1685_0,0
10_1259_0,0
106_1559_0,0
186_1398_0,0
706_1590_0,0
862_2169_0,0
390_1446_0,0
526_1819_0,0
478_1655_0,0
666_1718_0,0
1041_1297_0,0
499_1765_0,0
756_1925_1,1
546_1945_0,0
451_1587_0,0
926_1544_0,0
840_1898_0,0
257_1383_0,0
293_2045_0,0
763_1133_0,0
452_1667_0,0
101_1173_0,0
513_1595_0,0
924_2077_1,1
704_1854_0,0
686_1668_0,0
1050_1177_0,0
1061_1669_0,0
199_1182_0,0
951_1827_0,0
192_1382_0,0
581_1749_0,0
554_1678_0,0
692_1868_0,0
641_1119_0,0
446_1655_1,1
536_2157_0,0
1076_1241_0,0
511_1595_0,0
483_1701_0,0
175_1782_0,0
11_1221_0,0
1044_1133_0,0
715_1865_0,0
55_1341_0,0
1022_1566_0,0
388_1999_0,0
947_1814_0,0
666_1598_0,0
327_2097_0,0
1001_2094_0,0
686_1655_0,0
903_1875_0,0
985_2122_0,0
105_1752_0,0
455_1601_0,0
919_2093_1,1
647_2156_0,0
14_1144_0,0
795_1896_0,0
986_1687_0,0
830_1776_0,0
488_1962_0,0
713_1870_0,0
445_1669_0,0
910_1633_0,0
227_1497_0,0
902_1656_0,0
1_1135_1,1
1020_1424_0,0
436_1095_0,0
432_1242_0,0
326_1646_1,1
723_1862_0,0
386_1536_0,0
426_1466_0,0
374_1534_0,0
230_1403_1,1
97_1170_1,1
535_1381_0,0
257_1221_0,0
269_1190_0,0
956_1652_0,0
91_1354_0,0
992_2005_0,0
337_1720_0,0
826_1481_0,0
428_1715_0,0
794_2131_0,0
234_1915_0,0
264_2126_0,0
458_1592_0,0
962_2021_0,0
403_1760_0,0
637_1945_0,0
786_1517_1,1
111_1180_0,0
685_1974_0,0
342_1492_1,1
618_2165_0,0
853_1904_0,0
912_2092_0,0
640_1461_0,0
293_2046_0,0
1022_1192_0,0
483_1623_0,0
216_1456_0,0
690_1865_0,0
24_1573_1,1
849_1901_0,0
505_1638_0,0
484_1666_0,0
663_1517_0,0
449_2153_0,0
515_1628_0,0
1040_1170_0,0
596_1610_0,0
942_1744_0,0
346_1670_0,0
485_1376_0,0
658_1722_0,0
184_1396_0,0
901_2073_0,0
58_1518_0,0
804_1757_0,0
192_1417_0,0
706_1687_0,0
521_2019_0,0
421_1249_0,0
553_1679_0,0
477_1497_0,0
852_1899_0,0
517_1629_0,0
488_1814_0,0
32_1144_0,0
749_1610_0,0
591_1946_0,0
735_2167_0,0
850_2070_0,0
935_2072_0,0
852_1609_0,0
552_1950_0,0
947_1625_0,0
510_1845_0,0
309_1431_0,0
531_1791_0,0
428_1221_0,0
903_1625_0,0
964_1179_0,0
95_1314_0,0
488_1623_0,0
290_1429_0,0
226_1667_0,0
267_1427_0,0
354_1227_0,0
840_1758_0,0
496_1926_0,0
470_1658_0,0
298_1999_0,0
547_1824_0,0
496_1670_0,0
478_1874_0,0
296_1192_0,0
728_1741_1,1
764_2152_0,0
639_2103_0,0
998_2008_0,0
838_1531_0,0
843_1902_0,0
331_1471_0,0
994_1440_0,0
551_1679_0,0
604_2167_0,0
950_1736_0,0
1005_1710_0,0
915_2087_0,0
453_2062_0,0
675_1974_0,0
61_1156_0,0
988_1626_0,0
401_1382_0,0
1005_1753_0,0
756_1640_0,0
637_1738_0,0
346_1691_0,0
483_1992_0,0
801_1331_0,0
72_1191_1,1
941_1987_0,0
934_2059_0,0
377_2152_0,0
902_1624_0,0
657_1919_0,0
839_1905_0,0
773_1879_1,1
737_2159_0,0
202_1361_1,1
626_1843_1,1
636_2165_0,0
663_1751_0,0
472_1650_0,0
662_1347_0,0
956_1368_0,0
591_1824_0,0
275_1617_0,0
717_1893_0,0
418_1377_0,0
354_1438_0,0
532_1677_0,0
445_1624_0,0
441_1662_0,0
356_1943_0,0
110_1179_0,0
371_1668_0,0
906_1500_0,0
521_1656_0,0
218_1515_0,0
847_1609_0,0
852_1896_0,0
637_2146_0,0
845_1898_0,0
580_2070_0,0
693_1864_1,1
720_1862_0,0
258_2064_0,0
280_1708_0,0
400_1153_0,0
267_1428_0,0
972_2039_1,1
989_1656_0,0
794_1118_0,0
371_1620_0,0
535_1543_0,0
630_1294_0,0
346_1593_0,0
478_2073_0,0
962_1171_0,0
673_2153_0,0
490_1736_0,0
475_2149_0,0
557_1679_1,1
456_1592_0,0
174_1248_0,0
105_1751_0,0
484_1593_0,0
885_2068_0,0
942_1818_0,0
645_1716_0,0
902_1617_0,0
328_2066_0,0
902_1712_0,0
206_1356_0,0
851_1899_0,0
993_2035_1,1
769_1240_0,0
700_1856_0,0
582_1796_0,0
534_1708_1,1
113_1133_1,1
196_1365_1,1
1000_1719_0,0
608_1917_0,0
878_1768_0,0
1011_2124_1,1
845_1759_0,0
568_1731_0,0
636_1776_0,0
551_1103_0,0
536_1223_0,0
562_1843_0,0
12_1261_0,0
952_1269_1,1
590_1312_1,1
471_1659_0,0
364_1320_0,0
577_1623_0,0
767_1357_0,0
570_2081_0,0
765_1716_0,0
893_2145_1,1
102_1502_0,0
139_1515_0,0
398_1600_0,0
1000_1716_0,0
977_2057_1,1
147_1720_0,0
451_1662_0,0
661_1347_0,0
97_1165_0,0
709_1816_0,0
477_1541_0,0
280_1715_0,0
1013_1608_0,0
291_1252_0,0
137_1316_0,0
713_1866_0,0
756_1645_0,0
987_1777_0,0
784_1808_0,0
200_1209_0,0
366_1197_0,0
445_1875_0,0
480_1875_0,0
251_1722_0,0
676_1973_0,0
349_2050_0,0
339_1414_0,0
686_1712_0,0
1045_1740_0,0
842_1670_0,0
1036_1990_0,0
496_1993_0,0
852_1907_0,0
988_1591_0,0
199_1168_0,0
729_1240_0,0
483_1557_0,0
116_1134_1,1
926_1842_0,0
808_1656_0,0
794_1244_0,0
543_1820_0,0
965_1622_0,0
740_1706_1,1
82_1339_1,1
555_1205_0,0
794_1212_1,1
257_1723_0,0
435_2047_0,0
33_1715_0,0
108_1399_1,1
585_1757_0,0
578_1591_0,0
748_1327_0,0
1038_1799_0,0
1039_1798_0,0
770_1251_0,0
480_1656_0,0
461_1594_0,0
949_2074_0,0
878_1801_0,0
631_1878_0,0
131_1438_0,0
487_1625_0,0
330_1543_0,0
866_2020_0,0
143_1688_0,0
1061_1557_0,0
912_2088_0,0
521_1711_0,0
400_1154_0,0
1052_1677_0,0
277_1483_0,0
873_1207_0,0
63_1379_0,0
709_1824_0,0
616_1716_0,0
840_1901_0,0
1081_1197_0,0
360_1379_0,0
671_1758_0,0
846_1898_0,0
748_1620_0,0
725_1807_0,0
579_1968_0,0
217_1456_1,1
195_1197_0,0
947_2075_0,0
351_1874_0,0
759_1240_0,0
578_1711_0,0
922_2090_0,0
13_1279_0,0
1063_2090_0,0
195_1099_0,0
467_1661_0,0
788_1225_1,1
840_1909_0,0
637_1840_0,0
748_1666_0,0
153_1382_0,0
913_2087_0,0
842_2094_0,0
785_1892_1,1
269_1260_0,0
636_1801_0,0
795_1901_0,0
535_1715_0,0
1057_1240_0,0
665_1381_0,0
627_1650_0,0
799_1648_0,0
33_1417_0,0
838_1915_0,0
1040_2046_0,0
949_1735_0,0
840_1906_1,1
429_2006_0,0
79_1496_0,0
109_1515_0,0
854_2070_0,0
906_1481_0,0
270_1426_0,0
755_1678_0,0
242_1162_0,0
287_1405_1,1
803_1630_0,0
595_1382_0,0
201_1656_0,0
988_1713_0,0
459_2060_0,0
175_1265_0,0
864_1586_0,0
672_1907_0,0
488_2043_0,0
15_1220_0,0
716_1799_0,0
95_2046_0,0
306_1480_1,1
985_1963_0,0
655_1641_0,0
886_1669_1,1
496_1666_0,0
143_1648_0,0
878_1777_0,0
771_1707_1,1
331_1319_0,0
608_2139_0,0
420_1291_0,0
847_1909_0,0
458_2062_0,0
488_2082_0,0
693_1871_0,0
567_1776_0,0
844_1904_0,0
478_1809_0,0
813_1755_0,0
506_1960_0,0
510_1595_0,0
45_1821_0,0
847_1901_0,0
477_2043_0,0
882_1974_0,0
923_2088_0,0
300_1399_0,0
343_1670_0,0
596_2030_0,0
329_1718_0,0
849_1898_0,0
221_1363_0,0
481_1656_0,0
306_1211_0,0
488_1500_0,0
445_1497_0,0
187_1438_1,1
978_1178_0,0
109_1227_0,0
535_1666_0,0
549_1948_0,0
802_1341_0,0
970_1573_0,0
1057_1141_0,0
25_1172_0,0
691_1871_0,0
904_2074_0,0
648_1937_0,0
1016_1592_0,0
343_2094_0,0
918_2088_0,0
912_2087_0,0
485_1726_0,0
717_1883_0,0
915_2097_0,0
630_1951_0,0
541_1673_0,0
41_1136_1,1
110_1165_0,0
790_1597_0,0
34_2126_0,0
846_1906_0,0
10_1417_0,0
765_1474_0,0
1040_1169_0,0
495_1612_1,1
903_1735_0,0
267_1190_0,0
66_1153_0,0
1045_2081_0,0
192_1543_0,0
1068_2172_0,0
843_1896_0,0
218_1287_0,0
523_1809_0,0
645_1383_0,0
992_1683_1,1
1026_1091_0,0
659_1754_0,0
322_1561_1,1
785_1622_0,0
478_2043_0,0
748_1593_0,0
367_1570_1,1
11_1139_0,0
169_1665_0,0
905_1618_0,0
742_1967_0,0
775_2077_0,0
578_1926_0,0
360_1389_0,0
789_2094_0,0
620_1843_0,0
947_1735_0,0
1005_1703_0,0
408_1106_1,1
995_1709_0,0
631_1842_0,0
192_1716_0,0
88_1770_0,0
484_1874_0,0
169_1274_0,0
421_1539_0,0
178_1385_0,0
78_1190_1,1
441_1658_0,0
665_1598_0,0
675_2065_1,1
185_1357_1,1
585_1733_1,1
626_1931_0,0
268_1427_0,0
751_1910_1,1
843_1899_0,0
95_1170_0,0
931_2072_0,0
490_2074_0,0
949_1962_0,0
379_2005_0,0
1031_1347_0,0
488_1626_1,1
206_1348_1,1
478_2008_0,0
150_1352_1,1
645_1720_0,0
731_1861_1,1
12_1229_0,0
737_1972_0,0
582_1768_0,0
971_1764_1,1
254_1926_0,0
496_1711_1,1
351_2073_0,0
769_1128_0,0
988_2062_0,0
85_1237_0,0
536_1806_0,0
242_1697_0,0
805_1777_0,0
153_1718_0,0
529_1995_0,0
353_1240_0,0
1011_1648_0,0
537_1387_0,0
78_1429_0,0
765_1708_0,0
654_1980_0,0
480_1528_0,0
1006_1695_0,0
1036_2153_0,0
845_1904_0,0
97_1448_0,0
480_1962_1,1
551_1791_0,0
245_1410_1,1
670_1711_0,0
963_1167_0,0
166_1105_0,0
974_1482_0,0
667_1768_0,0
329_1221_0,0
790_1381_0,0
772_1650_0,0
471_1636_0,0
949_2082_0,0
882_2103_0,0
578_1623_0,0
851_1758_0,0
711_2002_0,0
440_1662_0,0
615_1719_1,1
545_1650_0,0
546_1969_0,0
644_1723_0,0
487_1993_0,0
577_1689_0,0
473_1766_1,1
895_1628_0,0
251_1714_0,0
181_1711_0,0
772_1931_0,0
709_1968_1,1
797_1209_1,1
854_1762_0,0
147_1716_0,0
952_1827_0,0
520_1617_0,0
1039_2146_0,0
835_1099_0,0
803_1747_0,0
27_1283_1,1
139_1287_0,0
959_1092_0,0
368_1471_0,0
55_1146_1,1
808_2043_0,0
666_2157_0,0
2_1236_1,1
423_1275_0,0
595_1806_0,0
880_1973_0,0
808_1500_0,0
769_1154_0,0
352_1285_0,0
509_1693_0,0
504_1640_0,0
833_1131_1,1
658_1715_0,0
38_1426_0,0
609_1777_0,0
948_2076_1,1
674_1867_0,0
715_1871_0,0
517_1673_1,1
515_1631_0,0
690_1870_0,0
662_1195_0,0
714_1946_0,0
482_1875_0,0
1021_1254_0,0
706_1661_0,0
444_1660_0,0
442_1575_1,1
55_1209_0,0
198_1204_0,0
477_1623_0,0
273_1950_0,0
650_1749_0,0
218_1995_0,0
822_1511_0,0
738_1916_0,0
186_1951_0,0
790_1718_0,0
549_1679_0,0
875_2017_1,1
973_1760_1,1
294_1139_0,0
808_1557_0,0
74_1953_0,0
812_1879_0,0
688_1814_0,0
459_1523_0,0
4_1279_0,0
371_1818_0,0
609_1778_0,0
308_1467_0,0
409_1544_1,1
776_1843_0,0
748_1619_0,0
501_1644_1,1
575_1987_0,0
686_2018_0,0
904_1624_0,0
962_1180_0,0
254_1666_0,0
527_1338_0,0
361_1342_0,0
652_1983_0,0
371_1481_0,0
626_1781_0,0
778_1715_0,0
537_2130_1,1
751_1487_0,0
478_1962_0,0
621_1749_1,1
510_2037_0,0
212_1402_1,1
988_1875_0,0
498_2121_0,0
484_2073_0,0
729_1651_0,0
960_1454_0,0
897_1707_0,0
976_2162_0,0
1063_2086_0,0
813_1793_0,0
443_1588_0,0
962_2045_0,0
581_1762_1,1
1040_2016_0,0
875_1809_0,0
902_2043_0,0
546_1840_0,0
165_1153_0,0
859_1925_0,0
195_1567_0,0
549_1274_0,0
1057_1128_0,0
718_1863_0,0
599_1648_0,0
407_1586_0,0
849_1899_0,0
432_1134_0,0
297_1435_0,0
507_1425_1,1
591_2031_0,0
670_1656_0,0
483_1655_0,0
13_1289_0,0
917_2150_0,0
817_1785_1,1
902_1873_0,0
33_1381_0,0
796_1902_0,0
908_2028_0,0
808_1591_0,0
831_1531_0,0
890_2060_1,1
578_1873_0,0
181_1809_0,0
548_2006_0,0
758_1693_1,1
819_1886_1,1
434_2045_0,0
512_1677_0,0
296_1567_0,0
271_1427_0,0
732_1927_0,0
966_1156_0,0
807_2131_0,0
882_1921_0,0
429_1628_0,0
1045_1796_0,0
1037_1885_0,0
638_1119_0,0
512_1747_0,0
1029_1083_0,0
897_1251_0,0
962_1182_0,0
861_1100_0,0
90_1100_0,0
671_1900_0,0
882_1967_0,0
597_1689_0,0
615_1723_0,0
403_1178_0,0
1002_1956_0,0
565_2064_1,1
153_1806_0,0
372_1371_1,1
1021_1521_0,0
797_1146_0,0
692_1870_0,0
706_1588_0,0
392_1344_1,1
874_2024_0,0
666_1720_0,0
903_2074_0,0
321_1478_1,1
326_1652_0,0
950_2042_0,0
480_1497_0,0
294_1229_1,1
484_1713_0,0
156_1218_1,1
119_1127_0,0
281_1384_1,1
1036_2160_1,1
352_1515_0,0
812_1985_0,0
116_1202_0,0
767_1477_0,0
536_1721_1,1
606_1606_0,0
401_1719_0,0
354_1325_0,0
191_1598_0,0
1019_1253_0,0
631_1816_0,0
343_1962_0,0
767_1406_0,0
1028_1090_0,0
521_1557_0,0
1042_2105_1,1
1048_1154_0,0
547_1649_0,0
191_1718_0,0
460_1564_1,1
192_1708_0,0
852_1908_0,0
378_1089_1,1
978_1764_0,0
198_1515_0,0
482_2043_0,0
243_1282_0,0
707_2063_1,1
637_1781_0,0
997_1963_0,0
916_2089_0,0
115_1555_0,0
631_1649_0,0
461_1657_1,1
964_1168_0,0
329_1717_0,0
768_1887_1,1
409_1798_0,0
716_1969_0,0
158_1795_1,1
930_2112_0,0
510_2023_0,0
601_1516_0,0
478_1666_0,0
400_1172_0,0
280_1384_0,0
1045_2070_0,0
463_1355_0,0
324_1387_0,0
987_2070_0,0
804_1768_0,0
746_1834_0,0
221_1396_1,1
562_1946_0,0
878_2053_0,0
448_1156_0,0
739_2121_0,0
671_1901_0,0
857_2142_0,0
529_1677_0,0
281_1723_0,0
610_1768_0,0
236_1300_1,1
715_1870_1,1
688_1655_0,0
667_1776_0,0
1022_1210_0,0
107_1095_0,0
176_1782_0,0
855_1569_0,0
894_1988_1,1
671_1909_0,0
449_1989_0,0
62_1159_1,1
315_1499_1,1
296_1106_0,0
10_1221_0,0
741_1982_0,0
808_1589_0,0
947_1809_0,0
110_1180_0,0
398_1532_0,0
714_1931_0,0
484_1481_0,0
645_1806_0,0
116_1153_0,0
424_1831_1,1
776_1969_0,0
432_1153_0,0
825_1572_1,1
1081_1163_0,0
823_1933_0,0
496_1962_0,0
286_1397_0,0
1039_1732_0,0
44_1426_0,0
534_1666_0,0
659_1703_0,0
27_1679_0,0
678_1975_0,0
651_1777_0,0
452_2062_1,1
143_1610_0,0
153_1721_0,0
591_1732_0,0
521_1809_0,0
1039_1774_0,0
632_1781_0,0
486_1622_0,0
587_1515_0,0
772_1842_0,0
445_1528_0,0
840_1904_0,0
88_1128_0,0
842_1656_0,0
907_1814_0,0
916_2086_0,0
964_1181_0,0
709_1843_0,0
1038_1840_0,0
548_1746_0,0
1040_1448_0,0
665_1806_0,0
796_1758_0,0
247_1297_0,0
428_1598_0,0
1039_1842_0,0
860_2107_1,1
619_1762_0,0
327_1513_1,1
1012_1708_0,0
623_1907_0,0
512_1791_0,0
660_1578_0,0
1003_1328_0,0
299_1399_0,0
510_1632_0,0
1004_1175_1,1
984_1683_0,0
917_2087_0,0
510_1675_0,0
886_1874_0,0
711_1750_0,0
866_1620_0,0
841_1899_0,0
357_1943_1,1
1056_1100_0,0
477_1593_0,0
15_1138_0,0
764_2009_0,0
681_2103_0,0
388_1535_0,0
24_2126_0,0
841_1609_0,0
950_1625_0,0
549_1844_0,0
49_1161_0,0
508_2004_0,0
168_1154_0,0
146_1259_1,1
714_1650_0,0
615_1598_0,0
214_1402_0,0
504_1638_0,0
641_1785_0,0
862_1941_0,0
1021_1163_0,0
454_1590_0,0
661_1203_0,0
38_1190_0,0
293_1103_0,0
683_1971_0,0
889_1662_0,0
487_1689_0,0
689_1698_0,0
485_1670_0,0
907_1726_0,0
109_1204_1,1
715_1866_0,0
988_2008_0,0
32_1289_0,0
1046_1473_0,0
706_1659_0,0
482_2074_0,0
536_1597_0,0
985_2121_1,1
658_1381_0,0
530_1675_0,0
483_2008_1,1
1081_1562_0,0
646_1803_0,0
875_1618_0,0
591_1913_0,0
482_1593_0,0
659_1203_0,0
640_1413_0,0
618_1779_1,1
719_1883_0,0
531_1846_0,0
692_1865_0,0
481_1481_0,0
482_1528_0,0
901_1656_1,1
497_1643_0,0
377_2009_0,0
961_1167_0,0
503_1671_0,0
67_1537_0,0
443_1636_0,0
865_1586_0,0
534_1221_0,0
772_1798_0,0
535_1417_0,0
345_1571_0,0
574_1792_1,1
841_1902_1,1
902_1589_0,0
337_1596_0,0
94_2047_0,0
371_2018_0,0
874_1968_0,0
33_1722_0,0
1063_2068_1,1
903_1655_0,0
1022_1197_1,1
262_1340_0,0
907_1669_0,0
943_1968_0,0
988_2082_0,0
124_1160_1,1
251_1597_0,0
454_1663_0,0
567_1801_0,0
770_2028_0,0
734_1843_0,0
423_1230_0,0
126_2054_0,0
374_1262_0,0
270_1422_0,0
658_1721_0,0
998_1655_0,0
488_1928_0,0
67_1538_0,0
1062_2061_0,0
316_1498_1,1
298_1399_0,0
1018_1657_0,0
505_1640_0,0
666_1716_0,0
360_1242_0,0
84_1282_1,1
683_2065_0,0
582_2053_0,0
718_1190_0,0
965_1491_0,0
685_1971_0,0
927_2055_0,0
548_1948_0,0
947_1711_0,0
847_1903_0,0
534_1716_0,0
858_1618_0,0
216_1455_1,1
482_2073_0,0
865_1512_1,1
903_1711_0,0
1047_2044_1,1
536_1719_0,0
901_1497_0,0
690_1866_0,0
478_1713_0,0
56_1570_0,0
939_2030_0,0
405_1634_0,0
732_1861_0,0
446_1712_0,0
